latitude,longitude,label
-35.90797098536585,-62.118917639024403,38
33.222319861111117,-113.758216,18
-49.08247894545454,-69.051955659090908,22
20.46279632289156,-99.21453862891569,83
-34.560011898312219,-58.577810273417725,484
-40.053951716666674,-67.994258347619066,39
-32.983645942592595,-68.848831903703697,55
-26.948552145161294,-56.933377764516123,31
-32.392907800000003,-60.609403544303788,82
-34.83285750632912,-58.135843872151916,73
-37.351578675862065,-57.715191141379314,32
9.3477956185185178,-72.981255614814827,26
-20.825930514705888,-68.001877870588217,30
36.653739931250001,10.465856824999998,16
-30.241207501086954,-64.514081523913035,92
