latitude,longitude,label
-34.565138716666667,-58.447870366666656,6
-34.556716274999999,-58.477792112499998,8
-34.595114860000002,-58.474690459999998,5
-34.596227199999994,-58.514443337499998,8
-34.5737194875,-58.508673924999997,8
-34.621507280000003,-58.447297040000002,5
-34.574602612500001,-58.461485999999994,8
-34.614599184615386,-58.492902061538466,13
-34.584707975000001,-58.535587724999999,4
-34.603482766666666,-58.447285100000009,3
-34.646024199999999,-58.50925436666666,3
-34.618281433333337,-58.521389155555553,9
-34.658945299999999,-58.498602533333326,3
-34.636203379999998,-58.465248680000002,5
-34.631682133333335,-58.485938616666665,6
