latitude,longitude,label
-34.457087739999999,-58.916171460000008,5
-34.48713746,-58.75041264,5
-34.368198399999997,-58.759155300000003,1
-34.382888399999999,-58.734017199999997,1
-34.522319899999999,-58.795961900000002,3
-34.464695599999999,-58.808002100000003,3
-34.497219100000002,-58.8636093,1
-34.283828700000001,-58.791519200000003,1
-34.429484666666667,-58.883577866666663,3
-34.4379694,-58.988002700000003,1
-34.442645749999997,-58.768343524999999,4
-34.544059799999999,-58.769920300000003,1
-34.330967680000001,-58.788327440000003,5
-34.414246575,-58.727951050000001,4
-34.515239199999996,-58.749362599999998,2
