latitude,longitude,label
-34.47392704,-58.505477759999998,5
-34.523264533333332,-58.535321500000002,3
-34.470354800000003,-58.542568560000007,5
-34.551616833333334,-58.55138276666667,3
-34.502757899999999,-58.510806049999999,2
-34.5278578,-58.585079866666661,3
-34.546573433333329,-58.509152199999996,3
-34.5281205,-58.473815999999999,1
-34.490093133333339,-58.486063566666665,3
-34.523845519999995,-58.50237933999999,5
-34.512887049999996,-58.488369200000001,4
-34.541876649999999,-58.471885149999999,2
-34.488712700000001,-58.57294133333334,3
-34.531357566666664,-58.486768133333328,3
