latitude,longitude,label
-34.564994200000001,-58.688340500000002,3
-34.771175399999997,-58.747917200000003,1
-34.782335799999998,-58.837779500000003,1
-34.631155700000001,-58.87881325,2
-34.744264000000001,-58.700157900000001,1
-34.644248949999998,-58.754450800000001,2
-34.677109524999999,-58.694345249999998,4
-34.667486833333335,-58.784044933333327,3
-34.628110400000004,-58.811308366666672,3
-34.547497250000006,-58.70786785,2
-34.886726400000001,-58.984107999999999,1
-34.602088899999998,-58.952129399999997,1
-34.65818706666667,-58.724971066666662,3
-34.616666700000003,-58.683333300000001,1
