latitude,longitude,label
-34.443061800000002,-58.557964300000002,1
-34.451858683333334,-58.626715149999995,6
-34.424153666666662,-58.584027599999992,3
-34.360396600000001,-58.600100500000003,1
-34.455018500000001,-58.680672000000001,1
-34.4937744,-58.592598000000002,1
-34.484251325000002,-58.640209250000005,4
-33.897242200000001,-58.406757599999999,1
-34.4808053,-58.701517500000001,2
-34.4518834,-58.578544350000001,2
-34.4151715,-58.686754700000002,1
-34.425877,-58.659889999999997,1
-34.4589043,-58.676425899999998,1
-34.504220750000002,-58.685447749999994,2
