latitude,longitude,label
-34.587818549999994,-58.6453992,2
-34.686860899999999,-58.529045850000003,2
-34.622859733333335,-58.6383036,3
-34.660591449999998,-58.636136775000004,4
-34.690603840000009,-58.576760100000001,5
-34.663774450000005,-58.530518600000001,2
-34.636015475000001,-58.595793925000002,4
-34.610217539999994,-58.547245880000006,5
-34.660291066666666,-58.551263299999995,3
-34.587409675000004,-58.588680524999994,4
-34.640163000000001,-58.543892339999999,5
-34.635803174999999,-58.566525200000001,4
-34.585744733333335,-58.563725766666664,3
-34.575288266666668,-58.607549799999994,3
