latitude,longitude,label
-34.696821833333331,-58.403209699999998,3
-34.712671200000003,-58.526845699999996,2
-34.780386780000001,-58.427862419999997,5
-34.693779499999998,-58.424627800000003,1
-34.820590800000005,-58.465150449999996,2
-34.717243199999999,-58.384798050000001,2
-34.744611200000001,-58.3917316,1
-34.798099533333335,-58.463711166666663,3
-34.670776666666661,-58.453394366666664,3
-34.691799199999998,-58.524322499999997,1
-34.758134349999999,-58.49309925,2
-34.702152699999999,-58.497179200000005,3
-34.705715550000001,-58.47540395,4
-34.681996574999999,-58.470873949999998,4
