latitude,longitude,label
-31.411609599999998,-64.166809099999995,1
-31.333330199999999,-64.233329800000007,1
-31.427288099999998,-64.141075099999995,1
-31.6782532,-63.877777100000003,1
-31.425885350000001,-64.185674150000011,2
-31.423429500000001,-64.200294499999998,1
-31.463308300000001,-64.111419699999999,1
-31.406531350000002,-64.179710400000005,2
-31.651802100000001,-63.912395500000002,1
-31.392951,-64.205787650000005,2
-31.350000399999999,-64.25,1
-31.465113166666669,-64.20805773333332,3
