latitude,longitude,label
-34.770249549999996,-58.370778566666665,12
-35.579179500000002,-58.013687500000003,1
-34.716991633333329,-58.300373083333334,6
-34.822961137500002,-58.226809899999992,8
-34.799888975000002,-58.157236600000005,4
-34.752010779999992,-58.254273249999997,10
-35.076499900000002,-57.517536200000002,1
-34.864865433333335,-56.07082226666666,3
-34.683414450000001,-58.333551916666664,6
-35.122176975000002,-58.194427699999999,4
-35.437767000000001,-58.8067055,1
-34.894789887500004,-57.938415675000002,8
-34.966666699999998,-54.950000000000003,1
-34.855129350000006,-58.399661237500005,8
