latitude,longitude,label
-34.610370436842096,-58.394570257894735,114
-34.853069546153847,-58.568004930769227,13
-34.038091016666669,-59.665484733333329,6
-34.439941910000002,-58.803182769999999,40
-34.200823355555556,-59.031711355555572,9
-34.654065521428564,-58.763966596428581,28
-34.727883433333332,-58.457149327777785,36
-34.823741283333334,-60.2765579,6
-34.600783918085114,-58.487725573404283,94
-34.553425783333331,-59.220269583333327,6
-32.700984699999999,-58.363925783333336,6
-34.510844502222213,-58.518331813333333,45
-34.632523677551021,-58.579193714285722,49
-34.434958651851858,-58.624644181481479,27
-35.282010300000003,-59.316274820000004,5
