latitude,longitude,label
-42.488372150000004,-64.010290550000008,2
-40.299931299999997,-71.53939381666666,6
-42.714652450000003,-71.384755600000005,2
-39.100341800000002,-67.087799099999998,1
-38.956767244444436,-68.045652400000009,9
-37.3826672,-69.594743149999999,2
-43.274494150000002,-65.203445450000004,2
-42.754398299999998,-65.049308800000006,1
-42.672376000000007,-68.821442599999997,3
-37.82632065,-67.772529599999999,2
-38.924640549999999,-69.644931549999995,2
-38.996255900000001,-67.703754400000008,2
-38.801709499999994,-68.124366733333332,3
-40.42325975,-64.712795249999999,2
