latitude,longitude,label
-29.973730100000001,-59.604988100000007,3
-32.410748833333336,-58.807837166666665,3
-31.282302550000001,-58.131449175,4
-31.668619158333332,-60.589336716666672,12
-30.982846899999998,-61.638134666666666,6
-32.424811000000005,-62.577515399999996,5
-33.403683914285715,-60.157646985714287,7
-33.043851733333334,-60.615675974999995,12
-33.151241300000002,-59.334411600000003,1
-32.784054891666671,-60.776020975000002,12
-32.834977049999999,-61.191037725000001,4
-32.510400799999999,-59.972637349999999,2
-33.995037199999999,-60.800598566666658,3
-32.062629980000004,-61.565771560000009,5
-33.679254100000001,-61.918944099999997,3
