latitude,longitude,label
-37.899197724999993,-57.528844424999996,4
-36.710056299999998,-57.586437199999999,1
-36.774967199999999,-59.854038199999998,1
-37.201728500000002,-59.841069699999998,1
-37.514641533333332,-59.526969166666667,3
-36.46579706666666,-56.706492966666666,3
-38.604820250000003,-60.322395350000001,2
-37.207783271428575,-56.939630242857149,7
-38.0558938,-58.053359749999998,2
-38.554496800000003,-58.739608799999999,1
-36.683096460000002,-56.685748279999999,5
-37.389595049999997,-60.007619849999998,2
