latitude,longitude,label
-51.535552799999998,-72.3356371,1
-45.849331533333327,-67.504327733333341,3
-51.029552500000001,-70.781349199999994,1
-49.039892649999999,-68.45930365000001,2
-48.751080299999998,-70.250067599999994,1
-45.126087099999999,-66.537188099999995,1
-46.538589000000002,-68.944153,1
-46.4324808,-67.524578399999996,1
-46.528421249999994,-71.273992700000008,2
-54.057864574999996,-68.252322300000003,4
-46.441196400000003,-67.519485500000002,1
-49.835853950000001,-72.578416400000009,2
-47.749160799999999,-65.888038600000002,1
-51.623048500000003,-69.216829099999998,1
