latitude,longitude,label
-28.574760120000001,-65.391520199999988,5
-29.044558299999995,-67.057764800000001,3
-31.446182135294119,-64.156448141176483,17
-27.806503620000001,-64.18030936000001,5
-32.865474683333332,-63.948778833333328,6
-31.364687118181823,-64.401002954545461,11
-32.101748639999997,-65.186029059999996,5
-25.479318240000001,-64.804346680000009,5
-28.6760378,-62.549245800000001,2
-32.108257450000004,-64.377612374999998,4
-26.975671760000001,-65.074641420000006,5
-26.820766623076924,-65.349628892307678,13
-30.869882066666666,-63.843050266666665,3
-31.010286799999999,-64.40650177500001,4
-31.340336800000003,-62.973886499999992,4
