latitude,longitude,label
-25.880879100000001,-52.5369916,1
-25.273883733333331,-57.618023399999998,3
-29.563277900000003,-57.736354233333337,3
-26.6859699,-60.689525700000004,2
-24.704500199999998,-60.600578300000002,1
-27.980562849999998,-55.882270149999997,2
-26.612544700000001,-54.598119933333329,3
-27.436061219999999,-58.86240986,5
-23.548943300000001,-46.638818200000003,1
-26.185200999999999,-58.175369699999997,1
-28.859453200000001,-58.986724850000002,2
-25.695009100000004,-54.586472499999992,3
-27.086417300000001,-61.085881899999997,1
-27.444250433333337,-55.617023366666672,3
