latitude,longitude,label
25.59319095,-100.45860364999999,4
28.108713133333335,-100.84919789999999,3
38.627002500000003,-90.199404200000004,1
19.354283433333332,-99.215522533333342,15
22.026668600000001,-99.026250300000001,1
18.152499800000001,-99.523839424999991,4
19.006502590909097,-97.602069127272728,11
21.74272946666667,-102.68680386666666,6
20.998896144444444,-101.24195504444444,9
19.361567755555559,-99.067456588888888,9
24.389519100000001,-106.03085915,2
19.468868114285719,-99.159584542857147,14
16.004999400000003,-90.511664375000009,4
