latitude,longitude,label
-34.627528560000009,-68.265472160000002,5
-33.028499316666661,-68.88206215000001,6
-33.708077766666669,-69.03979236666666,3
-33.035086499999998,-71.586350500000009,2
-30.2414761,-68.746696499999999,1
-33.474892133333334,-70.631420533333326,3
-31.564298428571426,-68.492486100000008,7
-33.507525625,-66.199056100000007,4
-33.293722150000001,-69.014312750000002,2
-32.87388095,-68.804305883333328,6
-32.894207180000002,-68.853593219999993,5
-33.104600266666665,-68.500645966666653,3
-35.327731549999996,-69.832102450000008,2
-32.939085825000006,-68.713488349999992,4
-30.30778025,-69.178035749999992,2
