latitude,longitude,label
-34.602507899999999,-58.379990300000003,1
-34.608444900000002,-58.373836400000002,1
-34.603674599999998,-58.381585800000003,1
-34.612499999999997,-58.383333299999997,1
-34.605700499999998,-58.377966600000001,1
-34.600000000000001,-58.383333,1
-34.602111800000003,-58.3851437,1
-34.60493065,-58.37538515,2
-34.603723199999997,-58.381593100000003,1
-34.609093199999997,-58.373502000000002,1
-34.6072998,-58.381412500000003,1
-34.600176349999998,-58.379563000000005,2
